  x-r-uv           y-r-uv    x-s-uv           y-s-uv    x-r-ecd       y-r-ecd    x-s-ecd        y-s-ecd
   233.4   1819.76            233.4   3465.16             233.4  -2.43943          233.4    0.371872
   233.6   1764.87            233.6   3373.83             233.6  -2.38572          233.6    0.178099
   233.8   1711.15            233.8   3283.24             233.8  -2.33057          233.8   -0.00761885
   234     1658.6             234     3193.45             234    -2.27398          234     -0.184463
   234.2   1607.18            234.2   3104.51             234.2  -2.21593          234.2   -0.351738
   234.4   1556.89            234.4   3016.45             234.4  -2.15641          234.4   -0.508873
   234.6   1507.69            234.6   2929.33             234.6  -2.09545          234.6   -0.655413
   234.8   1459.59            234.8   2843.2              234.8  -2.03306          234.8   -0.791022
   235     1412.56            235     2758.12             235    -1.96927          235     -0.915475
   235.2   1366.59            235.2   2674.14             235.2  -1.90413          235.2   -1.02865
   235.4   1321.69            235.4   2591.34             235.4  -1.83767          235.4   -1.13054
   235.6   1277.83            235.6   2509.76             235.6  -1.76996          235.6   -1.22122
   235.8   1235.02            235.8   2429.47             235.8  -1.70105          235.8   -1.30084
   236     1193.26            236     2350.55             236    -1.63101          236     -1.36966
   236.2   1152.54            236.2   2273.05             236.2  -1.55992          236.2   -1.42799
   236.4   1112.87            236.4   2197.05             236.4  -1.48785          236.4   -1.4762
   236.6   1074.25            236.6   2122.62             236.6  -1.41488          236.6   -1.51474
   236.8   1036.69            236.8   2049.81             236.8  -1.3411           236.8   -1.54408
   237     1000.2             237     1978.71             237    -1.26659          237     -1.56475
   237.2    964.774           237.2   1909.37             237.2  -1.19143          237.2   -1.57729
   237.4    930.43            237.4   1841.86             237.4  -1.11572          237.4   -1.58229
   237.6    897.175           237.6   1776.25             237.6  -1.03953          237.6   -1.58034
   237.8    865.019           237.8   1712.58             237.8  -0.962963         237.8   -1.57203
   238      833.972           238     1650.93             238    -0.886094         238     -1.55798
   238.2    804.044           238.2   1591.33             238.2  -0.809007         238.2   -1.53878
   238.4    775.245           238.4   1533.85             238.4  -0.731781         238.4   -1.51505
   238.6    747.585           238.6   1478.51             238.6  -0.654493         238.6   -1.48734
   238.8    721.072           238.8   1425.37             238.8  -0.577216         238.8   -1.45624
   239      695.714           239     1374.45             239    -0.500018         239     -1.42229
   239.2    671.52            239.2   1325.78             239.2  -0.422966         239.2   -1.386
   239.4    648.494           239.4   1279.39             239.4  -0.34612          239.4   -1.34786
   239.6    626.641           239.6   1235.28             239.6  -0.269536         239.6   -1.30834
   239.8    605.964           239.8   1193.46             239.8  -0.193267         239.8   -1.26787
   240      586.466           240     1153.93             240    -0.117361         240     -1.22684
   240.2    568.145           240.2   1116.7              240.2  -0.0418593        240.2   -1.18562
   240.4    551.001           240.4   1081.74             240.4   0.0331983        240.4   -1.14454
   240.6    535.027           240.6   1049.03             240.6   0.107778         240.6   -1.10388
   240.8    520.22            240.8   1018.55             240.8   0.181849         240.8   -1.06392
   241      506.569           241      990.254            241     0.255384         241     -1.02489
   241.2    494.065           241.2    964.111            241.2   0.328361         241.2   -0.986965
   241.4    482.695           241.4    940.069            241.4   0.400759         241.4   -0.950323
   241.6    472.445           241.6    918.072            241.6   0.472561         241.6   -0.915096
   241.8    463.296           241.8    898.058            241.8   0.543751         241.8   -0.881388
